probe set	AA1521m99hpp_av06	AA1521n99hpp_av06	AA1521o99hpp_av06	AA1521p99hpp_av06	AA1521q99hpp_av06	AA1521r99hpp_av06	AA1521s99hpp_av06	AA1521t99hpp_av06
36503_at	215.256	211.992	212.313	209.732	198.313	207.716	212.421	214.452
36504_at	81.955	71.996	71.409	72.039	78.152	74.738	71.793	86.407
36505_at	81.041	76.042	82.46	76.136	82.946	85.07	83.695	78.235
36506_at	124.219	127.042	118.334	129.396	110.775	116.874	117.368	126.214
36507_at	443.898	458.846	428.8	424.756	457.251	436.063	419.219	414.027
36508_at	47.841	48.467	39.613	49.428	44.099	46.768	49.045	48.901
36509_at	48.181	46.932	40.319	48.704	42.955	43.647	34.73	41.827
36510_at	51.298	48.371	62.213	48.688	50.047	50.275	52.19	48.217
36511_at	118.567	127.614	104.397	112.898	111.733	113.439	113.624	116.303
36512_at	259.908	284.277	288.119	302.262	301.967	265.382	311.496	253
36513_at	40.603	33.585	37.866	37.603	45.088	41.143	35.032	39.409
36514_at	41.02	35.912	33.283	38.351	33.99	34.819	33.08	38.311
36515_at	81.862	94.665	81.672	89.767	81.632	91.947	86.627	87.536
36516_at	116.457	111.545	117.244	115.119	115.171	107.438	114.365	116.539
36517_at	277.994	310.166	279.868	293.02	268.89	264.175	296.581	291.451
36518_at	100.475	92.516	92.989	86.02	89.278	95.374	81.2	89.808
36519_at	135.464	144.662	142.825	145.827	150.919	136.926	149.286	141.429
36520_at	115.154	100.891	106.984	91.155	97.821	109.053	95.734	103.314
36521_at	27.816	33.045	28.527	30.029	31.3	29.816	30.503	30.146
36522_at	289.859	268.754	284.807	284.675	286.82	275.458	288.101	270.608
36523_at	26.926	30.552	29.79	33.289	30.551	28.286	32.038	30.855
36524_at	90.936	97.632	90.583	87.703	88.338	84.903	90.367	92.809
36525_at	37.399	34.842	34.903	37.953	39.795	40.415	31.859	38.708
36526_at	54.811	69.212	52.409	57.761	52.513	59.176	53.818	52.41
36527_at	79.683	83.232	73.782	72.637	78.47	78.68	77.565	75.854
36528_at	145.162	139.601	133.888	151.736	129.928	140.183	136.844	142.758
36529_at	143.216	160.934	160.444	154.13	152.631	157.056	158.176	155.775
36530_g_at	327.315	308.718	309.976	327.529	330.218	314.342	291.571	337.459
36531_r_at	426.493	348.263	422.774	375.207	372.289	384.302	467.3	409.128
36532_at	83.217	87.165	83.019	69.842	85.881	82.353	76.348	80.884
36533_at	40.672	35.632	36.868	38.179	36.493	38.524	40.528	39.794
36534_at	111.232	104.912	95.353	94.411	99.631	104.967	95.633	106.883
36535_at	92.488	88.949	90.969	96.313	84.824	94.392	97.258	93.352
36536_at	50.712	41.887	37.75	40.956	48.956	50.483	47.295	53.276
36537_at	107.006	105.928	90.72	94.564	94.875	95.259	101.774	99.444
36538_at	79.648	88.384	83.693	74.599	83.472	87.68	80.487	90.69
36539_at	58.607	54.31	61.095	59.47	61.384	56.18	57.874	63.329
36540_at	65.783	73.78	77.828	80.826	74.881	76.23	90.706	76.81
36541_at	172.739	151.833	148.465	157.545	174.203	169.301	155.756	170.58
36542_at	42.264	47.311	38.391	41.999	41.699	42.757	43.614	44.693
36543_at	139.037	155.25	121.976	142.795	117.553	127.896	142.256	132.891
36544_at	209.78	213.806	194.185	188.63	191.849	192.334	201.036	177.185
36545_s_at	113.458	104.396	102.466	107.425	105.529	107.952	99.205	109.793
36546_r_at	5096.067	4681.306	4876.967	4515.472	5224.886	5281.656	4805.91	5550.718
36547_r_at	1937.411	1816.97	1808.874	1793.259	1898.394	1900.64	1820.72	1964.604
36548_at	64.325	64.649	52.713	62.374	60.466	60.493	60.333	61.749
36549_at	198.347	188.445	185.938	163.825	186.732	199.211	151.041	205.778
36550_at	69.78	77.628	72.651	68.841	64.031	71.033	81.364	71.388
36551_at	50.005	53.039	40.576	52.568	40.112	46.28	58.101	49.07
36552_at	120.319	108.613	108.031	101.351	106.331	108.739	111.373	110.331
36553_at	171.483	158.95	160.157	167.817	163.296	161.712	161.789	161.151
36554_at	278.068	289.533	284.589	282.443	291.05	257.704	257.224	289.479
36555_at	151.845	141.422	129.149	125.232	143.958	140.218	130.537	143.426
36556_at	67.901	69.993	62.811	68.536	68.064	65.326	86.885	77.399
36557_at	237.113	273.116	269.37	288.381	197.73	229.783	227.486	195.459
36558_at	151.706	137.141	140.194	133.668	153.221	149.538	144.487	143.843
36559_g_at	29.408	32.014	30.144	34.83	35.156	30.352	30.311	30.815
36560_at	136.885	137.995	140.556	131.65	156.959	145.794	133.378	144.218
36561_at	182.968	180.954	181.277	192.401	167.363	159.236	172.993	164.672
36562_at	358.755	326.741	349.516	320.879	376.537	348.186	380.857	367.342
36563_at	124.576	121.082	118.825	133.195	129.002	123.356	140.467	119.038
36564_at	446.918	428.016	447.909	451.299	508.527	436.501	411.13	414.803
36565_at	73.559	89.525	85.953	96.186	90.428	94.778	79.647	85.394
36566_at	86.769	85.842	90.072	97.425	96.883	93.462	92.808	88.039
36567_at	135.956	124.018	129.336	122.333	147.391	148.563	129.74	139.732
36568_at	261.626	249.946	301.572	264.797	274.56	300.713	246.12	286.109
36569_at	154.43	161.198	158.536	154.591	168.681	164.045	153.906	163.671
36570_at	73.028	55.389	57.889	58.369	71.55	68.414	63.615	78.08
36811_at	111.863	96.129	90.472	88.126	97.795	97.473	89.026	111.989
36812_at	91.024	72.745	72.031	69.61	82.371	86.943	84.441	78.499
36813_at	122.898	107.792	104.758	105.343	124.428	122.908	110.372	133.298
36814_at	124.224	135.634	118.742	116.855	115.712	125.051	116.475	128.699
36815_at	293.934	266.002	243.171	242.832	262.997	261.681	282.587	277.62
36816_s_at	793.885	816.293	847.233	836.434	833.191	766.984	821.16	830.374
36817_at	17.922	16.016	13.539	18.404	16.61	18.877	16.252	22.259
36818_at	49.801	52.316	53.558	56.616	54.588	53.42	57.432	55.282
36819_at	43.868	42.949	41.538	35.629	39.136	38.924	45.772	44.404
36820_r_at	15.806	13.631	15.479	15.387	12.14	12.041	15.354	12.268
36821_at	185.136	199.758	188.498	178.824	172.914	172.722	172.894	187.869
36822_at	392.947	353.607	378.407	360.761	403.311	388.102	386.805	391.175
36823_at	266.644	257.763	266.456	255.892	286.22	268.67	254.029	246.42
36824_at	8.317	10.314	9.828	9.389	9.022	10.595	9.839	9.496
36825_at	49.21	56.324	49.032	55.214	40.044	41.503	49.518	46.122
36826_at	203.757	176.158	179.246	180.565	193.649	185.022	185.72	204.128
36827_at	120.558	139.159	115.791	122.182	117.575	118.135	99.46	119.373
36828_at	88.539	87.824	78.398	98.958	92.896	94.421	93.111	92.992
36829_at	2214.96	1898.054	1685.657	1799.396	1851.095	2018.564	1818.751	2059.244
36830_at	91.926	89.811	77.077	99.867	88.983	83.215	86.23	79.061
36831_at	63.356	62.913	74.023	65.373	65.851	61.385	70.491	62.469
36832_at	215.295	198.933	203.621	204.138	206.319	205.838	202.868	202.823
36833_at	133.776	139.024	122.871	132.946	152.994	132.871	140.558	126.453
36834_at	60.255	65.807	57.954	63.408	56.203	62.728	56.118	56.253
36835_at	110.965	102.799	93.592	107.647	121.405	100.536	118.963	104.28
36836_at	100.352	97.351	85.184	86.359	87.907	91.726	85.048	85.767
36837_at	60.375	50.923	53.812	56.617	55.585	55.731	60.35	62.987
36838_at	95.257	89.091	98.183	91.072	94.115	97.616	90.212	86.715
36839_at	154.877	153.314	152.343	153.626	159.83	160.112	143.806	138.982
36840_at	176.251	179.855	175.829	167.737	162.061	171.494	175.067	165.988
36841_at	189.228	166.422	152.874	160.206	191.163	165.499	175.648	178.346
36842_at	67.781	68.236	60.281	69.576	69.626	67.42	73.277	61.015
36843_at	138.122	142.578	143.377	145.342	137.113	132.709	128.76	128.525
36844_at	19.318	20.308	22.674	28.154	24.114	23.674	24.509	23.903
36845_at	85.003	96.947	87.89	94.996	86.281	91.7	90.267	87.747
36846_s_at	116.962	119.794	117.2	124.252	131.129	116.882	107.091	117.423
36847_r_at	330.223	324.199	358.028	332.447	370.871	335.357	344.242	358.528
36848_r_at	484.295	453.546	456.358	421.97	491.72	487.68	525.978	459.881
36849_at	20.118	20.921	19.417	21.392	18.568	18.467	19.551	16.66
36850_at	39.148	35.111	35.493	37.347	34.101	33.151	37.273	38.984
36851_g_at	123.468	116.684	108.039	107.049	107.115	100.444	104.613	111.106
36852_at	50.002	54.11	45.99	43.248	41.32	44.094	51.589	46.344
36853_at	66.196	65.015	67.619	75.275	66.384	67.526	70.089	69.294
36854_s_at	96.824	102.89	94.483	100.429	101.123	97.228	107.702	101.587
36855_r_at	118.125	116.98	116.921	120.247	121.412	101.556	128.755	132.941
36856_at	295.861	234.49	257.942	216.432	257.215	265.727	290.487	267.062
36857_at	29.476	27.087	28.098	27.6	32.418	28.094	31.696	31.023
36858_at	236.286	234.553	222.483	199.172	253.045	234.736	198.619	254.356
36859_at	96.707	87.229	78.884	95.441	110.84	110.706	101.632	119.979
36860_at	33.087	40.151	32.943	29.101	37.539	35.994	36.947	37.325
36861_at	543.104	574.768	565.069	558.399	666.279	762.013	651.64	778.61
36862_at	321.784	284.89	323.392	299.261	314.785	326.913	292.068	326.406
36863_at	88.693	73.521	71.512	78.053	90.372	80.633	94.155	83.375
36864_at	193.226	223.41	199.294	178.524	214.379	205.836	172.639	216.116
36865_at	111.69	105.521	103.076	110.236	95.106	97.939	103.448	105.97
36866_at	19.288	13.932	11.657	16.941	17.837	17.29	13.657	20.567
36867_at	40.18	41.059	40.668	38.883	38.141	39.586	42.645	42.041
36868_at	24.716	27.783	31.429	28.742	28.752	20.757	22.893	23.317
36869_at	432.45	415.393	410.546	380.319	395.108	412.263	414.814	404.495
36870_at	107.837	105.229	93.525	105.055	91.05	98.546	107.049	94.965
36871_at	226.127	229.497	204.838	216.847	194.931	200.653	201.249	204.337
36872_at	62.785	69.734	77.8	82.112	71.682	66.442	79.658	73.222
36873_at	115.956	127.09	112.398	127.521	112.73	114.933	115.037	102.049
36874_at	50.021	47.238	46.663	47.784	53.118	54.466	43.345	45.437
36875_at	113.583	131.372	120.242	122.572	108.632	108.214	106.495	114.253
36876_at	141.013	169.67	135.259	160.125	153.763	156.334	167.965	156.444
36877_at	49.224	43.655	41.142	49.335	53.679	49.719	52.234	52.408
36878_f_at	105.905	101.518	102.035	96.504	95.002	106.012	92.916	105.017
36879_at	158.808	152.954	147.035	152.308	162.075	148.999	167.035	150.244
36880_at	132.982	129.489	130.071	122.785	128.041	124.722	135.218	131.969
36881_at	380.671	356.761	359.656	341.204	391.639	368.874	397.675	391.925
36882_at	228.756	205.528	220.871	233.799	244.367	223.879	245.405	230.472
36883_at	154.849	134.745	146.369	131.119	147.879	140.227	131.373	134.972
36884_at	26.389	35.438	28.756	25.731	24.855	26.213	28.581	24.899
36885_at	203.617	189.376	180.71	191.804	175.948	172.815	213.717	177.641
36886_f_at	68.887	66.712	66.184	58.623	77.893	66.719	67.02	71.906
36887_f_at	37.446	36.074	35.148	40.096	38.144	34.063	33.785	38.212
36888_at	110.27	104.203	114.17	105.057	118.394	120.979	98.381	115.078
36889_at	101.069	114.465	108.244	111.635	160.7	160.202	174.548	150.087
36890_at	172.207	194.41	189.433	181.354	173.591	173.471	164.319	172.048
36891_at	260.599	263.072	237.458	233.342	244.939	249.944	244.827	270.947
36892_at	150.549	141.712	137.147	148.305	140.008	147.806	154.45	142.018
36893_at	83.871	84.929	81.701	87.443	76.431	77.323	87.059	80.882
36894_at	317.701	273.588	295.901	274.627	342.61	330.003	317.19	370.232
36895_at	64.879	75.199	66.897	73.094	72.138	69.322	63.543	70.749
36896_s_at	34.577	31.385	24.387	21.205	20.61	23.609	19.633	21.765
36897_at	140.459	147.292	132.437	145.755	132.244	140.752	148.894	144.496
36898_r_at	38.323	36.208	40.698	38.143	39.728	34.319	45.713	41.288
36899_at	196.357	232.15	202.508	209.492	190.421	187.938	207.321	208.647
36900_at	323.372	307.408	320.4	294.268	324.718	326.62	333.451	343.114
36901_at	24.82	24.444	24.166	26.337	22.707	27.795	23.485	28.97
36902_at	143.039	138.214	144.845	131.307	146.292	140.957	124.328	145.251
36903_at	38.11	33.411	32.683	34.67	31.474	40.188	30.902	35.916
36904_at	51.09	46.148	52.108	51.022	54.738	62.384	48.765	44.615
36905_at	51.61	50.331	48.428	45.721	44.131	48.812	51.042	49.612
36906_at	22.014	24.008	24.112	24.041	20.054	21.173	26.825	20.866
36907_at	804.955	744.945	759.51	695.764	775.018	778.58	705.288	814.913
36908_at	59.96	59.123	54.063	53.487	74.207	66.427	64.678	61.465
36909_at	56.897	49.856	48.777	48.384	38.692	51.709	49.575	57.057
36910_at	57.32	63.34	68.647	63.499	59.508	55.794	66.769	59.9
36911_at	56.249	55.188	50.253	53.158	65.638	56.338	52.105	58.684
36912_at	81.59	78.519	69.579	76.951	67.424	84.535	78.508	70.596
36913_at	28.725	28.187	26.766	28.25	32.852	29.253	31.282	28.834
36914_at	82.677	81.4	86.92	77.273	76.611	89.911	76.72	94.486
36915_at	239.379	242.713	248.68	233.993	215.846	243.6	229.903	236.527
36916_at	423.154	505.383	455.734	490.378	429.658	470.001	465.462	421.645
36917_at	73.722	72.012	71.901	74.077	74.755	71.143	81.919	75.399
36918_at	60.971	59.815	58.732	60.483	60.663	54.276	60.615	53.263
36919_r_at	116.393	119.083	113.015	115.624	124.853	117.629	107.224	112.364
36920_at	19.188	14.772	16.915	18.657	19.935	18.817	16.878	16.317
36921_at	106.902	106.685	103.352	113.511	112.373	108.814	125.235	119.394
36922_at	140.001	114.929	130.36	111.994	129.621	115.58	138.906	114.838
36923_at	292.218	288.38	278.507	282.682	293.689	289.032	303.597	287.226
36924_r_at	45.63	54.218	49.457	52.686	47.536	49.545	43.135	45.841
36925_at	77.995	63.154	74.196	82.19	82.248	83.635	62.689	84.947
36926_at	110.832	109.225	107.75	108.693	106.928	107.495	121.913	109.856
36927_at	81.888	68.3	68.872	69.699	79.633	82.249	82.009	76.757
36928_at	338.541	392.824	334.614	378.665	343.606	322.172	344.068	316.88
36929_at	104.55	115.787	110.09	103.572	112.579	102.083	118.476	108.844
36930_at	86.182	98.671	84.917	90.183	84.432	92.865	78.796	93.17
37171_at	24.785	19.204	20.495	18.12	19.968	21.355	26.335	24.164
37172_at	55.807	43.813	50.741	50.379	49.442	54.607	49.586	49.542
37173_at	46.69	59.391	54.852	46.737	60.818	61.161	56.264	53.867
37174_at	37.104	36.313	31.307	34.327	36.475	38.299	35.468	38.633
37175_at	76.809	78.002	76.257	71.123	83.198	75.823	76.643	72.162
37176_at	295.371	276.823	294.449	255.671	266.131	288.544	218.915	274.599
37177_at	28.79	32.484	31.713	29.517	31.218	33.608	31.4	31.251
37178_at	105.574	98.062	95.683	86.806	90.253	104.269	87.103	109.717
37179_at	89.984	86.092	87.877	82.919	86.697	85.892	98.744	94.888
37180_at	130.938	112.007	105.181	113.839	116.65	118.588	111.84	124.274
37181_at	180.65	177.293	165.856	173.331	173.72	173.874	167.197	193.061
37182_at	388.977	384.151	364.648	330.129	393.528	400.134	335.756	378.706
37183_at	62.993	58.923	54.777	57.061	65.87	62.228	57.099	67.369
37184_at	343.514	320.88	336.595	315.279	360.875	346.384	291.651	370.755
37185_at	78.4	63.119	60.966	59.587	67.634	69.461	71.122	71.253
37186_s_at	52.499	54.195	49.299	52.758	53.097	54.402	54.17	55.959
37187_at	72.625	84.156	63.891	65.095	69.229	68.585	68.973	71.97
37188_at	100.692	108.838	102.499	97.524	106.279	99.386	108.384	112.831
37189_at	167.858	170.076	168.993	159.158	160.128	161.743	159.416	170.485
37190_at	34.445	33.672	37.446	32.056	35.289	30.561	34.294	37.982
37191_at	524.949	484.397	456.259	479.908	533.398	518.571	467.19	515.441
37192_at	221.284	223.623	223.298	220.568	231.063	227.966	229.83	225.082
37193_at	131.319	141.605	140.863	129.583	144.806	141.949	132.594	130.568
37194_at	112.994	110.486	115.938	120.33	111.543	107.988	113.967	111.276
37195_at	259.787	247.439	248.135	248.85	262.185	253.536	242.973	242.006
37196_at	107.307	99.109	91.975	95.871	112.239	103.734	106.706	102.512
37197_s_at	52.463	51.358	51.351	45.126	62.595	59.416	47.157	51.314
37198_r_at	11.983	11.9	14.527	12.677	8.917	11.407	5.019	8.327
37199_at	178.12	157.328	157.055	164.986	182.305	147.682	168.068	156.426
37200_at	47.033	62.841	54.378	60.475	48.498	50.528	45.533	53.216
37201_at	213.648	217.783	217.675	201.733	192.889	206.222	181.415	185.939
37202_at	119.958	122.732	125.71	122.062	114.616	119.458	123.013	119.318
37203_at	66.229	71.372	62.981	68.147	69.791	67.835	73.367	67.428
37204_at	91.228	99.84	106.078	119.059	106.787	101.389	119.245	112.447
37205_at	323.535	284.168	311.986	291.657	324.519	322.138	309.698	306.586
37206_at	141.87	144.491	135.271	138.545	185.367	174.496	131.446	167.626
37207_at	42.94	47.786	53.696	59.852	49.97	59.043	54.741	56.24
37208_at	16.517	15.92	17.655	16.204	17.31	13.868	15.886	22.039
37209_g_at	36.612	39.071	35.665	37.077	43.216	39.399	33.231	43.68
37210_at	90.968	90.985	93.958	87.872	81.933	92.555	91.176	87.522
37211_at	161.108	145.761	137.424	136.633	150.4	166.306	141.719	152.053
37212_at	138.139	131.465	118.393	121.029	134.051	135.715	147.447	146.311
37213_at	148.288	123.261	108.139	114.942	114.84	121.251	119.418	127.107
37214_g_at	112.149	111.197	118.299	114.911	121.759	106.619	110.759	108.789
37215_at	24.761	19.421	23.829	20.813	19.546	22.875	23.906	23.93
37216_at	1093.345	902.472	917.609	926.612	1095.237	1092.98	1008.424	1113.478
37217_at	185.105	179.807	187.395	172.755	190.931	201.816	172.629	191.807
37218_at	99.567	106.913	108.097	98.302	93.426	97.939	103.911	101.903
37219_at	61.63	63.433	64.469	67.222	64.245	75.382	71.15	61.268
37220_at	77.641	82.217	104.95	70.684	72.777	153.886	75.963	87.394
37221_at	45.513	45.395	39.446	40.535	43.048	42.128	41.141	42.981
37222_at	364.497	334.439	352.292	332.796	335.606	354.092	367.833	346.178
37223_at	15.458	17.345	16.843	17.148	16.18	15.624	17.31	15.499
37224_at	49.491	45.832	43.703	42.113	46.64	49.908	37.436	51.819
37225_at	42.201	43.603	39.528	43.621	40.431	40.652	44.419	42.812
37226_at	101.635	111.201	109.719	103.307	106.986	112.551	100.612	106.733
37227_at	42.751	38.927	35.14	38.519	38.419	42.375	38.421	40.78
37228_at	357.914	346.908	372.651	356.749	376.913	373.016	387.391	372.979
37229_at	74.92	83.863	71.069	81.392	81.459	79.262	81.547	76.838
37230_at	72.403	82.013	66.114	72.439	71.119	68.529	74.517	71.749
37231_at	21.614	21.947	16.162	21.115	22.025	24.109	22.591	19.829
37232_at	66.55	64.658	65.826	74.52	73.215	66.889	73.357	65.767
37233_at	41.451	35.456	38.704	37.23	48.808	39.895	37.047	42.622
37234_at	50.154	60.968	50.789	50.166	61.157	51.737	46.403	49.719
37235_g_at	48.847	36.864	42.08	38.738	84.739	37.969	37.847	42.426
37236_at	48.799	47.184	49.862	46.708	54.116	50.843	57.414	50.424
37237_at	133.394	132.684	115.723	135.082	144.529	127.772	133.566	121.942
37238_s_at	495.269	478.422	511.818	491.277	529.871	499.106	520.912	519.894
37239_r_at	288.075	263.62	275.904	256.548	298.306	279.162	290.15	277.718
37240_at	41.814	51.341	43.466	42.377	46.248	43.714	42.977	40.748
37241_at	68.463	65.071	69.664	70.011	72.486	68.235	60.15	58.841
37242_at	256.332	241.023	234.111	225.371	231.618	232.751	238.988	237.566
37243_at	102.202	104.436	112.984	108.642	116.465	106.2	103.08	103.43
37244_at	56.604	61.832	62.28	62.102	61.531	59.08	55.313	63.277
37245_at	52.238	43.664	41.16	40.773	42.779	45.069	42.435	43.637
37246_at	694.299	647.395	708.537	676.758	801.39	709.836	674.68	693.625
37247_at	56.978	56.383	57.578	56.36	63.621	53.893	47.704	56.032
37248_at	164.962	163.451	167.007	177.996	197.855	184.069	165.813	165.083
37249_at	68.321	74.797	80.129	75.866	67.275	70.665	77.164	70.129
37250_at	119.451	110.712	121.136	111.028	104.071	121.282	119.232	123.831
37251_s_at	14.423	16.817	15.991	15.585	15.065	16.157	15.508	18.42
37252_at	166.323	159.703	181.541	165.765	172.452	177.977	170.709	181.289
37253_at	74.539	69.808	64.006	63.445	70.859	68.037	77.906	79.684
37254_at	229.375	211.982	208.177	216.858	264.156	231.234	260.014	258.863
37255_at	125.807	133.728	144.944	112.697	133.684	135.996	123.99	132.206
37256_at	457.32	459.762	368.79	446.239	503.502	465.663	363.117	502.491
37257_at	117.069	110.627	104.638	109.569	103.542	112.206	110.043	104.377
37258_at	30.515	36.085	34.201	28.974	29.847	33.761	20.561	27.884
37259_at	263.835	256.783	238.018	245.997	264.776	237.876	267.792	290.936
37260_at	23.401	22.464	25.659	26.387	19.712	30.274	22.733	23.745
37261_g_at	50.898	41.095	43.042	46.497	47.997	46.769	46.342	55.742
37262_at	175.88	138.242	144.435	144.252	171.83	176.976	158.808	187.38
37263_at	84.84	71.035	72.989	71.737	78.89	75.267	74.478	76.471
37264_at	91.003	96.289	98.72	108.485	109.087	94.937	91.913	92.796
37265_at	73.251	78.399	65.123	60.75	76.36	80.701	61.527	70.516
37266_at	86.878	87.635	73.483	80.205	78.726	87.59	75.345	83.304
37267_at	214.677	211.468	206.96	211.559	196.128	206.481	204.053	207.665
37268_at	402.938	436.307	389.293	425.152	426.858	424.403	407.076	437.681
37269_at	170.956	149.546	162.591	136.006	197.602	176.229	172.249	160.295
37270_at	257.201	247.371	267.288	256.53	278.8	296.531	286.604	279.951
37271_at	145.491	131.228	144.409	137.231	137.219	129.603	149.083	140.284
37272_at	178.984	159.051	186.303	171.458	164.703	190.369	157.987	180.284
37273_at	99.139	85.175	81.332	88.265	83.816	86.665	84.705	81.38
37274_at	338.38	322.613	332.385	356.175	366.8	367.817	372.769	370.921
37275_at	35.828	37.272	43.765	44.737	30.982	30.122	38.636	30.778
37276_at	155.983	167.481	150.689	151.649	151.808	146.255	166.892	155.372
37277_at	56.952	55.528	56.017	59.751	55.656	53.311	51.646	51.842
37278_at	370.025	369.428	411.246	353.76	400.225	394.164	373.353	379.323
37279_at	66.226	53.649	60.688	62.183	60.72	64.08	68.246	63.516
37280_at	70.411	74.462	72.024	77.516	77.617	67.35	70.716	66.192
37281_at	350.965	323.559	372.917	329.91	383.935	354.444	393.972	356.799
37282_at	6.522	8.084	6.325	9.75	11.012	7.65	9.139	8.955
37283_at	52.431	59.539	56.943	43.174	64.274	63.682	45.062	52.822
37284_at	540.921	516.83	530.439	486.631	527.614	558.302	489.27	488.037
37285_at	132.938	125.152	132.342	130.79	144.903	135.192	130.289	128.291
37286_at	66.666	77.236	71.521	81.68	78.201	75.417	73.635	75.824
37287_at	46.338	45.453	50.959	45.704	41.084	44.465	42.497	39.521
37288_g_at	90.006	79.784	81.189	88.198	72.177	72.006	75.369	72.944
37289_at	32.032	30.697	35.283	29.793	29.209	23.669	28.688	24.205
37290_at	14.806	16.538	11.421	14.28	13.863	12.956	14.788	13.871
37531_at	125.975	131.976	126.581	118.667	123.139	131.351	125.547	130.404
37532_at	209.499	210.463	185.253	192.654	194.051	195.373	207.504	216.034
37533_r_at	62.867	61.326	62.228	63.076	60.044	66.753	70.007	70.024
37534_at	167.212	148.885	170.355	158.675	193.205	168.089	204.287	221.615
37535_at	29.539	26.776	26.426	22.964	25.543	29.949	23.235	24.076
37536_at	193.744	155.69	167.538	167.42	180.787	171.536	184.062	194.789
37537_at	86.719	84.158	81.065	81.885	85.707	83.963	95.386	94.366
37538_at	121.682	117.719	117.151	111.911	129.885	126.899	123.147	133.168
37539_at	78.767	77.91	71.835	67.862	80.415	74.254	72.078	73.974
37540_at	42.161	38.956	39.879	37.187	36.003	46.596	40.092	38.875
37541_at	133.566	144.27	133.649	131.605	135.734	131.182	126.406	134.592
37542_at	144.555	130.811	121.287	121.945	138.044	140.155	117.523	150.852
37543_at	68.085	74.79	68.258	61.482	67.653	75.775	60.636	80.483
37544_at	90.893	84.184	88.308	79.643	84.84	91.709	82.62	90.79
37545_at	424.453	390.955	371.224	390.618	444.193	421.85	403.536	410.167
37546_r_at	101.372	122.609	132.951	142.021	124.049	115.022	136.181	118.373
37547_at	33.192	31.957	30.422	26.749	29.396	32.938	26.366	28.865
37548_at	70.902	78.527	64.398	62.963	62.151	63.696	64.429	62.967
37549_g_at	114.698	131.662	115.04	118.437	116.863	119.635	127.47	118.94
37550_at	277.352	263.416	274.046	267.109	277.424	308.331	258.838	298.917
37551_at	358.44	327.938	324.81	344.268	404.335	392.803	323.48	375.105
37552_at	26.274	31.366	30.283	24.078	26.985	31.035	27.235	25.139
37553_at	114.233	128.11	129.041	133.101	141.602	131.886	121.995	130.111
37554_at	353.041	303.337	338.089	306.378	356.075	315.852	361.03	331.666
37555_at	70.816	67.661	72.641	75.296	68.18	73.872	81.94	69.403
37556_at	31.58	33.104	36.152	30.535	34.484	30.187	34.667	30.188
37557_at	411.596	415.21	443.427	412.149	407.036	416.013	403.972	392.19
37558_at	24.293	27.025	23.649	24.937	29.411	27.603	29.023	24.385
37559_at	74.096	67.153	60.883	61.841	67.878	68.476	75.244	73.837
37560_at	42.519	45.424	42.448	41.465	48.342	45.836	42.552	43.678
37561_at	40.379	40.957	37.662	39.97	37.252	40.845	35.08	39.781
37562_at	177.41	171.636	167.494	167.877	166.181	168.139	156.253	154.49
37563_at	162.871	169.625	174.713	195.443	189.413	197.636	141.257	166.209
37564_at	79.955	77.287	84.455	82.645	81.596	74.125	75.971	79.248
37565_at	35.274	37.406	38.227	42.669	39.009	39.623	43.17	37.759
37566_at	65.415	77.881	77.874	81.194	75.113	73.896	81.844	75.599
37567_at	446.032	450.376	423.591	401.776	407.05	408.292	415.534	368.974
37568_at	39.428	39.546	35.674	39.79	41.488	37.819	38.276	36.631
37569_at	189.262	219.403	182.903	204.309	185.725	197.021	205.616	193.821
37570_at	85.909	74.933	79.644	78.673	82.061	77.886	81.82	77.788
37571_at	19.014	21.187	18.792	22.026	22.305	22.504	20.332	22.68
37572_at	119.513	118.437	108.999	109.798	117.829	117.781	110.68	127.557
37573_at	267.528	255.094	245.334	267.929	249.33	269.142	255.439	270.817
37574_at	20.224	25.852	24.48	23.168	22.761	21.758	20.545	26.567
37575_at	59.957	72.713	62.424	53.242	53.134	63.487	59.168	64.686
37576_at	56.174	58.221	57.116	56.877	57.614	58.702	54.191	59.94
37577_at	59.988	55.429	56.028	52.289	73.394	76.589	57.326	79.122
37578_at	57.821	52.478	53.166	47.654	61.484	60.668	44.534	58.346
37579_at	243.602	220.443	212.277	210.688	236.188	227.197	209.152	245.924
37580_at	99.537	83.491	90.495	79.641	88.595	90.295	67.178	65.327
37581_at	134.94	147.59	134.947	135.519	123.25	129.479	135.634	133.526
37582_at	38.798	41.399	38.07	39.203	36.018	43.093	40.973	44.517
37583_at	171.441	165.636	158.207	164.257	166.215	174.789	175.758	167.083
37584_at	329.634	303.044	284.819	297.578	307.388	320.644	305.075	320.777
37585_at	90.206	86.347	83.742	87.305	87.705	85.684	87.302	93.9
37586_at	137.794	126.603	130.614	118.659	125.805	134.703	112.197	129.775
37587_at	380.255	314.996	329.868	337.673	379.108	362.13	312.822	359.966
37588_s_at	269.982	248.343	266.72	239.105	251.792	273.254	241.642	293.92
37589_at	160.038	138.38	133.875	122.428	164.831	156.155	161.853	168.735
37590_g_at	99.799	91.66	103.777	87.005	98.318	96.648	88.24	97.53
37591_at	133.33	132.705	120.178	125.588	126.074	135.856	134.051	128.476
37592_at	38.864	41.378	38.023	41.085	44.353	42.782	36.643	40.947
37593_at	147.046	144.072	129.185	141.641	133.686	128.222	147.059	130.135
37594_at	68.34	58.729	47.942	51.685	57.731	54.653	56.459	51.471
